Student_Name,Math_Score,Science_Score,English_Score,Attendance_Pct
Aarav,72.0,82,86,98
Vivaan,,61,60,78
Aditya,79.0,68,81,95
Vihaan,69.0,66,72,89
Arjun,78.0,76,51,80
Sai,75.0,71,69,87
Ayaan,53.0,56,52,62
Krishna,66.0,62,70,84
Ishaan,70.0,54,76,79
Shaurya,,73,82,94
Ananya,74.0,91,86,99
Aadhya,56.0,76,76,88
Diya,,74,60,67
Saanvi,82.0,55,65,83
Priya,71.0,75,84,100
Neha,45.0,52,59,60
Riya,79.0,85,81,94
Kriti,75.0,72,81,87
Pooja,71.0,68,87,93
Kavya,,82,72,99
Rahul,78.0,70,82,94
Rohan,73.0,85,56,73
Amit,57.0,51,65,74
Karan,71.0,66,80,91
Vikram,93.0,74,77,98
Sneha,43.0,37,60,61
Nidhi,37.0,50,63,65
Tanvi,67.0,75,72,87
Rashi,44.0,36,55,60
Meera,81.0,79,74,98
